#name	dataset	cross_sxn(pb)	cross_sxn_err	total_evts	skimmed_dataset	skimmed_events	extra_weight
# Data	##################################################
DYJets_amctnlo_pt400_650	/DYJetsToLL_Pt-400To650_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14_ext1-v1/MINIAODSIM	3.835e-01	1.0e-03	589842	root://eoscms//eos/cms/store//user/	-	2.590890
DYJets_amctnlo_pt650_Inf	/DYJetsToLL_Pt-650ToInf_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14_ext1-v1/MINIAODSIM	3.556e-02	9.0e-05	599665	root://eoscms//eos/cms/store//user/	-	2.433715
#	##################
DYJets_madgraph	/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM	5.991e+03	1.796e+01	49877138	root://eoscms//eos/cms/store//user/	-	1.0
# DYJets HT Binned
DYJets_HT_100to200	/DYJetsToLL_M-50_HT-100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	1.473e+02	-	2738021	root://eoscms//eos/cms/store//user/	-	1.0
DYJets_HT_200to400	/DYJetsToLL_M-50_HT-200to400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	4.101e+01	-	944458	root://eoscms//eos/cms/store//user/	-	1.0
DYJets_HT_400to600	/DYJetsToLL_M-50_HT-400to600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	5.695e+00	-	1070454	root://eoscms//eos/cms/store//user/	-	1.0
DYJets_HT_600to800	/DYJetsToLL_M-50_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	1.347e+00	-	8232153	root://eoscms//eos/cms/store//user/	-	1.0
DYJets_HT_600toInf	/DYJetsToLL_M-50_HT-600toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	2.180e+00	-	1034084	root://eoscms//eos/cms/store//user/	-	1.0
DYJets_HT_800to1200	/DYJetsToLL_M-50_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	6.285e-01	-	2650775	root://eoscms//eos/cms/store//user/	-	1.0
DYJets_HT_1200to2500	/DYJetsToLL_M-50_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	1.509e-01	-	616612	root://eoscms//eos/cms/store//user/	-	1.0
DYJets_HT_2500toInf	/DYJetsToLL_M-50_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	3.655e-03	-	376260	root://eoscms//eos/cms/store//user/	-	1.0
#	##################################
#TTWJets	/ttWJets_13TeV_madgraphMLM/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	5.915e+03	3.414e+01	15000	root://eoscms//eos/cms/store//user/	-	1.0
#T6ttWW	/SMS-T6ttWW_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16Fast_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	5.915e+03	3.414e+01	15000	root://eoscms//eos/cms/store//user/	-	1.0
#SingleTop_TTWLL	/ST_tWll_5f_LO_13TeV-MadGraph-pythia8/RunIISpring16MiniAODv2-premix_withHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM	5.915e+03	3.414e+01	15000	root://eoscms//eos/cms/store//user/	-	1.0
#SingleTop_TWNuNu	/ST_tWnunu_5f_LO_13TeV-MadGraph-pythia8/RunIISpring16MiniAODv2-premix_withHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM	5.915e+03	3.414e+01	15000	root://eoscms//eos/cms/store//user/	-	1.0
#SingleTop_tbar	/ST_tW_antitop_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	5.915e+03	3.414e+01	15000	root://eoscms//eos/cms/store//user/	-	1.0
#SingleTop_tbarinc	/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	5.915e+03	3.414e+01	15000	root://eoscms//eos/cms/store//user/	-	1.0
#SingleTop_t	/ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM	5.915e+03	3.414e+01	15000	root://eoscms//eos/cms/store//user/	-	1.0
#SingleTop_tinc	/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v2/MINIAODSIM	5.915e+03	3.414e+01	15000	root://eoscms//eos/cms/store//user/	-	1.0
#	##################################
WRtoEEJJ_800_400	/WRToNuEToEEJJ_MW-800_MNu-400_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	4.262e+00	6.688e-02	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_1000_500	/WRToNuEToEEJJ_MW-1000_MNu-500_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	1.672e+00	4.966e-03	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_1200_600	/WRToNuEToEEJJ_MW-1200_MNu-600_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	7.594e-01	2.217e-03	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_1400_700	/WRToNuEToEEJJ_MW-1400_MNu-700_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	3.768e-01	1.418e-03	49835	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_1600_800	/WRToNuEToEEJJ_MW-1600_MNu-800_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	2.019e-01	5.927e-04	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_2000_1000	/WRToNuEToEEJJ_MW-2000_MNu-1000_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	4.158e+00	 5.769e-02	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_2200_1100	/WRToNuEToEEJJ_MW-2200_MNu-1100_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	4.158e+00	 5.769e-02	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_2600_1300	/WRToNuEToEEJJ_MW-2600_MNu-1300_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	1.491e-02	 4.204e-05	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_2800_1400	/WRToNuEToEEJJ_MW-2800_MNu-1400_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	9.408e-03	 7.342e-05	49184	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_3000_1500	/WRToNuEToEEJJ_MW-3000_MNu-1500_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	6.066e-03	 1.668e-05	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_3200_1600	/WRToNuEToEEJJ_MW-3200_MNu-1600_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	4.158e+00	 5.769e-02	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_3400_1700	/WRToNuEToEEJJ_MW-3400_MNu-1700_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	2.530e-03	 1.045e-05	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_3600_1800	/WRToNuEToEEJJ_MW-3600_MNu-1800_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	2.530e-03	 1.045e-05	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_4000_2000	/WRToNuEToEEJJ_MW-4000_MNu-2000_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	7.234e-04	 2.811e-06	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_4200_2100	/WRToNuEToEEJJ_MW-4200_MNu-2100_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	4.813e-04	 1.277e-06	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_4400_2200	/WRToNuEToEEJJ_MW-4400_MNu-2200_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	3.167e-04	 8.592e-07	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_4800_2400	/WRToNuEToEEJJ_MW-4800_MNu-2400_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	1.414e-04	 3.320e-07	49170	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_5000_2500	/WRToNuEToEEJJ_MW-5000_MNu-2500_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	9.401e-05	 2.348e-07	49698	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_5200_2600	/WRToNuEToEEJJ_MW-5200_MNu-2600_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	6.213e-05	 1.831e-07	49940	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_5600_2800	/WRToNuEToEEJJ_MW-5600_MNu-2800_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	2.779e-05	 7.460e-08	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_5800_2900	/WRToNuEToEEJJ_MW-5800_MNu-2900_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	1.835e-05	 2.158e-07	49799	root://eoscms//eos/cms/store//user/	-	1.0
WRtoEEJJ_6000_3000	/WRToNuEToEEJJ_MW-6000_MNu-3000_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	1.243e-05	 2.797e-08	48827	root://eoscms//eos/cms/store//user/	-	1.0
#	##################################
WRtoMuMuJJ_800_400	/WRToNuMuToMuMuJJ_MW-800_MNu-400_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	4.290e+00	1.457e-02	50000	root://eoscms//eos/cms/store//user/	-	1.0
WRtoMuMuJJ_1000_500	/WRToNuMuToMuMuJJ_MW-1000_MNu-500_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM	4.158e+00	 5.769e-02	50000	root://eoscms//eos/cms/store//user/	-	1.0
